Parameter S1 S1_conf ST ST_conf
k267 0.000097 0.000187 0.000001 0.000000
k268 -0.000082 0.000269 0.000003 0.000002
k269 0.000070 0.000080 0.000000 0.000000
k270 -0.000063 0.000099 0.000000 0.000000
k271 -0.000015 0.000020 0.000000 0.000000
k272 0.000093 0.000403 0.000006 0.000003
k273 -0.000542 0.001094 0.000022 0.000043
k274 -0.000064 0.000428 0.000006 0.000003
k275 0.000089 0.000595 0.000012 0.000012
k276 0.000109 0.000759 0.000019 0.000006
k277 -0.000115 0.000545 0.000011 0.000006
k278 0.000044 0.000187 0.000001 0.000000
k279 0.000001 0.000005 0.000000 0.000000
k280 0.000017 0.000035 0.000000 0.000000
k281 0.000360 0.000743 0.000025 0.000017
k282 -0.000004 0.000004 0.000000 0.000000
k283 -0.000011 0.000011 0.000000 0.000000
k284 -0.000123 0.000242 0.000004 0.000009
k285 -0.000001 0.000002 0.000000 0.000000
k286 -0.000715 0.001223 0.000044 0.000024
k287 -0.000109 0.000212 0.000001 0.000001
k288 -0.000586 0.002141 0.000161 0.000098
k289 -0.000006 0.000036 0.000000 0.000000
k290 -0.002114 0.002728 0.000226 0.000098
k291 0.002341 0.007683 0.001727 0.000440
k292 -0.000175 0.000446 0.000007 0.000012
k293 0.000994 0.009528 0.002878 0.000557
k294 -0.000552 0.001697 0.000102 0.000047
k295 0.000612 0.010325 0.003765 0.000748
k296 -0.000675 0.001230 0.000051 0.000016
k297 -0.000558 0.007900 0.001892 0.000352
k298 0.003495 0.005840 0.001171 0.000315
k299 0.007305 0.011628 0.004546 0.001052
k300 -0.000001 0.000250 0.000001 0.000001
k301 -0.000030 0.000160 0.000001 0.000001
k302 -0.000950 0.003299 0.000218 0.000139
k303 0.000015 0.000029 0.000000 0.000000
k304 -0.000017 0.000105 0.000000 0.000000
k305 -0.000043 0.000086 0.000000 0.000000
k306 -0.000018 0.000040 0.000000 0.000000
k307 -0.000641 0.001646 0.000077 0.000035
k308 0.000018 0.000588 0.000013 0.000006
k309 0.000023 0.000825 0.000027 0.000010
k310 -0.000175 0.000317 0.000001 0.000001
k311 -0.000513 0.006283 0.001011 0.000389
k312 -0.004007 0.016313 0.008589 0.002098
k313 0.000077 0.000200 0.000001 0.000001
k314 -0.000124 0.010971 0.004339 0.001200
k315 0.000000 0.000000 0.000000 0.000000
k316 -0.003254 0.024262 0.018309 0.003070
k317 -0.000265 0.001133 0.000043 0.000013
k318 0.003856 0.016903 0.008350 0.001336
k319 0.009503 0.011311 0.004058 0.000909
k320 -0.003912 0.005903 0.001108 0.000252
k321 0.000695 0.001532 0.000040 0.000057
k322 0.000143 0.000207 0.000001 0.000001
k323 -0.001682 0.003083 0.000221 0.000157
k324 -0.000005 0.000013 0.000000 0.000000
k325 0.000021 0.000130 0.000002 0.000002
k326 0.000009 0.000125 0.000001 0.000001
k327 -0.000717 0.001335 0.000091 0.000175
k328 -0.000731 0.001127 0.000055 0.000032
k329 0.000265 0.001214 0.000030 0.000045
k330 -0.001182 0.001462 0.000068 0.000032
k331 0.000072 0.000310 0.000002 0.000001
k332 -0.001483 0.004834 0.000897 0.000389
k333 0.007918 0.018858 0.009870 0.002270
k334 0.000065 0.000301 0.000002 0.000002
k335 0.000000 0.000000 0.000000 0.000000
k336 -0.006189 0.007898 0.002295 0.001103
k337 -0.000688 0.025123 0.017839 0.002571
k338 0.000412 0.000930 0.000025 0.000007
k339 -0.002659 0.015060 0.008234 0.001202
k340 0.010063 0.013968 0.005883 0.001130
k341 0.003401 0.009521 0.003078 0.000637
k342 0.000928 0.001149 0.000025 0.000022
k343 -0.000023 0.000100 0.000000 0.000000
k344 0.000000 0.000000 0.000000 0.000000
k345 -0.000015 0.000028 0.000000 0.000000
k346 -0.000007 0.000009 0.000000 0.000000
k347 -0.000548 0.001087 0.000022 0.000043
k348 -0.000546 0.001087 0.000022 0.000043
k349 -0.000007 0.000239 0.000001 0.000001
k350 0.000079 0.000169 0.000001 0.000001
k351 0.000161 0.000393 0.000003 0.000002
k352 -0.000642 0.001105 0.000022 0.000043
k353 0.000045 0.000705 0.000013 0.000010
k354 -0.000439 0.001908 0.000103 0.000039
k355 -0.000079 0.000156 0.000000 0.000001
k356 0.001596 0.003878 0.000440 0.000361
k357 -0.000414 0.001786 0.000092 0.000079
k358 0.002214 0.002783 0.000270 0.000098
k359 0.000054 0.000351 0.000004 0.000004
k360 -0.001524 0.002188 0.000144 0.000032
k361 -0.000592 0.001051 0.000039 0.000013
k362 0.001214 0.004042 0.000570 0.000189
k363 -0.000008 0.000049 0.000000 0.000000
k364 0.000020 0.000022 0.000000 0.000000
k365 0.000057 0.000056 0.000000 0.000000
k366 0.000000 0.000004 0.000000 0.000000
k367 -0.000003 0.000009 0.000000 0.000000
