Parameter S1 S1_conf ST ST_conf
k272 -0.000007 0.000312 0.000002 0.000001
k273 0.008248 0.016325 0.008127 0.016141
k274 0.000882 0.000717 0.000011 0.000004
k275 0.020902 0.039979 0.019434 0.037033
k276 -0.000105 0.001752 0.000059 0.000025
k277 -0.000128 0.001492 0.000039 0.000016
k278 0.000024 0.000127 0.000000 0.000000
k279 -0.000004 0.000005 0.000000 0.000000
k280 0.000302 0.001084 0.000019 0.000014
k281 0.020242 0.039945 0.019442 0.037048
k282 -0.000003 0.000009 0.000000 0.000000
k283 0.000002 0.000014 0.000000 0.000000
k284 0.005351 0.010060 0.001657 0.003108
k285 -0.000001 0.000001 0.000000 0.000000
k286 0.000082 0.001891 0.000065 0.000032
k287 0.000134 0.000370 0.000002 0.000001
k288 0.002252 0.003053 0.000176 0.000028
k289 0.000004 0.000042 0.000000 0.000000
k290 0.000283 0.005819 0.000545 0.000273
k291 0.007317 0.014979 0.004193 0.000878
k292 0.020947 0.039941 0.019435 0.037048
k293 -0.000314 0.007371 0.001008 0.000222
k294 -0.001366 0.002107 0.000085 0.000038
k295 -0.006453 0.026069 0.012936 0.002050
k296 0.000146 0.001286 0.000030 0.000009
k297 0.016852 0.040695 0.020995 0.037211
k298 0.034244 0.047148 0.041349 0.004358
k299 0.021791 0.040205 0.019749 0.037050
k300 -0.000398 0.000639 0.000008 0.000012
k301 0.000490 0.001813 0.000088 0.000070
k302 0.001563 0.002569 0.000126 0.000105
k303 -0.000037 0.000047 0.000000 0.000000
k304 0.000146 0.000152 0.000001 0.000000
k305 0.000109 0.000127 0.000000 0.000000
k306 0.000054 0.000053 0.000000 0.000000
k307 -0.000158 0.001350 0.000031 0.000010
k308 0.000298 0.000516 0.000005 0.000002
k309 -0.000130 0.001007 0.000019 0.000005
k310 -0.000147 0.000168 0.000001 0.000000
k311 -0.003583 0.006548 0.000680 0.000478
k312 0.007730 0.016117 0.005057 0.001126
k313 0.000005 0.000197 0.000000 0.000000
k314 -0.001759 0.009759 0.001605 0.000498
k315 0.000000 0.000000 0.000000 0.000000
k316 0.031417 0.047551 0.031086 0.037162
k317 0.000078 0.000735 0.000010 0.000003
k318 -0.004380 0.015556 0.005108 0.001036
k319 -0.002916 0.007593 0.001042 0.000212
k320 -0.001981 0.008035 0.001164 0.000310
k321 0.000955 0.001409 0.000039 0.000040
k322 0.000035 0.001788 0.000053 0.000029
k323 -0.000576 0.002680 0.000137 0.000108
k324 0.000186 0.000384 0.000003 0.000005
k325 -0.000053 0.000147 0.000000 0.000000
k326 -0.000089 0.000135 0.000000 0.000000
k327 0.020950 0.040273 0.020440 0.039286
k328 0.000891 0.000883 0.000017 0.000007
k329 0.000312 0.001255 0.000024 0.000030
k330 0.000731 0.000938 0.000017 0.000006
k331 -0.000014 0.000261 0.000001 0.000001
k332 -0.000287 0.006532 0.000718 0.000424
k333 0.003101 0.018040 0.005976 0.001437
k334 -0.000078 0.000157 0.000001 0.000000
k335 0.000000 0.000000 0.000000 0.000000
k336 0.008809 0.007778 0.000867 0.000392
k337 0.026912 0.047078 0.031981 0.037282
k338 -0.000363 0.000926 0.000016 0.000006
k339 0.020781 0.043143 0.024833 0.039060
k340 -0.007996 0.012718 0.003136 0.000540
k341 -0.003634 0.008542 0.001442 0.000382
k342 -0.001561 0.001635 0.000066 0.000061
k343 -0.000885 0.001075 0.000010 0.000011
k344 0.000000 0.000000 0.000000 0.000000
k345 0.000008 0.000017 0.000000 0.000000
k346 -0.000001 0.000007 0.000000 0.000000
k347 0.008224 0.016330 0.008131 0.016150
k348 0.008243 0.016373 0.008174 0.016234
k349 -0.000073 0.000242 0.000001 0.000000
k350 0.000035 0.000114 0.000000 0.000000
k351 -0.000139 0.000276 0.000002 0.000001
k352 0.008201 0.016326 0.008127 0.016143
k353 0.000217 0.000709 0.000009 0.000008
k354 0.000313 0.001669 0.000045 0.000013
k355 -0.000050 0.000071 0.000000 0.000000
