Parameter S1 S1_conf ST ST_conf
k291 0.002548 0.012397 0.003816 0.000804
k292 0.002607 0.006248 0.000844 0.001622
k293 0.002140 0.009714 0.002652 0.000702
k294 0.000513 0.001636 0.000067 0.000031
k295 -0.010722 0.022788 0.012993 0.002274
k296 0.000378 0.000932 0.000022 0.000006
k297 -0.000897 0.009543 0.002352 0.001669
k298 0.018348 0.035831 0.032797 0.003504
k299 0.002152 0.006866 0.000993 0.001623
k300 0.000345 0.000506 0.000009 0.000008
k301 0.000520 0.001765 0.000091 0.000054
k302 -0.001214 0.002321 0.000125 0.000070
k303 -0.000065 0.000338 0.000001 0.000002
k304 -0.000009 0.000188 0.000001 0.000001
k305 0.000073 0.000222 0.000001 0.000002
k306 -0.000005 0.000033 0.000000 0.000000
k307 0.000026 0.001766 0.000078 0.000031
k308 -0.000089 0.000689 0.000017 0.000011
k309 -0.000076 0.000475 0.000007 0.000002
k310 -0.000012 0.000251 0.000002 0.000002
k311 -0.006425 0.008478 0.001840 0.000735
k312 -0.004106 0.012058 0.003810 0.001210
k313 0.001037 0.002300 0.000252 0.000292
k314 0.002936 0.015304 0.005349 0.002083
k315 0.000000 0.000000 0.000000 0.000000
k316 0.005284 0.019571 0.010270 0.002737
k317 -0.000305 0.000528 0.000007 0.000002
k318 -0.002338 0.017002 0.008270 0.002474
k319 0.006498 0.009675 0.002314 0.000420
k320 -0.001008 0.004173 0.000465 0.000100
k321 0.001069 0.001622 0.000050 0.000038
k322 0.000370 0.001696 0.000076 0.000054
k323 0.000703 0.003158 0.000189 0.000175
k324 0.000096 0.000316 0.000002 0.000002
k325 0.000070 0.000177 0.000001 0.000001
k326 0.000025 0.000141 0.000001 0.000001
k327 0.002148 0.004155 0.000371 0.000707
k328 -0.001050 0.001240 0.000040 0.000037
k329 0.000101 0.001060 0.000053 0.000063
k330 -0.000467 0.001356 0.000049 0.000017
k331 0.000229 0.000363 0.000003 0.000002
k332 -0.004161 0.005595 0.000735 0.000433
k333 -0.002558 0.016110 0.005818 0.001547
k334 -0.000980 0.002349 0.000130 0.000149
k335 0.000000 0.000000 0.000000 0.000000
k336 -0.006075 0.009207 0.002317 0.001093
k337 -0.000528 0.022246 0.013432 0.002709
k338 0.000750 0.000778 0.000015 0.000004
k339 0.005808 0.017651 0.008099 0.001621
k340 0.006052 0.007647 0.001570 0.000374
k341 0.000971 0.006345 0.000980 0.000273
k342 -0.000143 0.001161 0.000033 0.000032
k343 -0.000394 0.000634 0.000019 0.000022
k344 0.000000 0.000000 0.000000 0.000000
k345 0.000313 0.000532 0.000004 0.000007
k346 -0.000005 0.000011 0.000000 0.000000
k347 0.000826 0.001673 0.000068 0.000138
k348 0.000840 0.001699 0.000070 0.000143
k349 0.000099 0.000257 0.000002 0.000001
k350 0.000032 0.000140 0.000000 0.000000
k351 -0.000173 0.000436 0.000005 0.000002
k352 0.000861 0.001681 0.000068 0.000138
k353 -0.000026 0.000668 0.000010 0.000007
k354 -0.000195 0.001318 0.000045 0.000014
k355 -0.000358 0.000455 0.000005 0.000005
k356 0.001751 0.003634 0.000245 0.000245
k357 -0.000216 0.002314 0.000093 0.000082
k358 -0.000341 0.002074 0.000107 0.000032
k359 -0.000080 0.000139 0.000000 0.000000
k360 -0.000331 0.001555 0.000064 0.000017
k361 -0.001708 0.003019 0.000230 0.000075
k362 -0.000011 0.001203 0.000037 0.000012
k363 -0.000248 0.000469 0.000003 0.000005
k364 0.000168 0.000225 0.000001 0.000001
k365 0.000361 0.000636 0.000005 0.000010
k366 0.000137 0.000350 0.000002 0.000003
k367 0.000013 0.000023 0.000000 0.000000
k368 0.000003 0.000007 0.000000 0.000000
k369 0.000004 0.000007 0.000000 0.000000
k370 0.000006 0.000027 0.000000 0.000000
k371 0.000837 0.001673 0.000068 0.000138
k372 0.000009 0.000023 0.000000 0.000000
k373 0.003068 0.006167 0.000807 0.001621
k374 0.000006 0.000578 0.000009 0.000008
k375 -0.000002 0.000082 0.000000 0.000000
k376 -0.000067 0.000228 0.000017 0.000031
k377 0.000777 0.001189 0.000024 0.000036
k378 0.000598 0.001045 0.000085 0.000130
k379 -0.000069 0.000159 0.000001 0.000001
k380 0.000004 0.000008 0.000000 0.000000
k381 0.003047 0.006170 0.000808 0.001621
k382 0.000024 0.000105 0.000000 0.000000
k383 -0.000040 0.000077 0.000001 0.000001
k384 0.000000 0.000000 0.000000 0.000000
k385 -0.000065 0.003002 0.000263 0.000178
k386 0.000126 0.000500 0.000005 0.000004
k387 0.000148 0.000179 0.000001 0.000001
k388 0.000028 0.000135 0.000000 0.000000
k389 0.000076 0.000127 0.000000 0.000001
k390 0.000004 0.000007 0.000000 0.000000
k391 -0.000729 0.000827 0.000021 0.000009
k392 0.000206 0.001112 0.000034 0.000033
k393 0.000216 0.001061 0.000024 0.000012
k394 -0.000031 0.000298 0.000003 0.000002
k395 0.000000 0.000000 0.000000 0.000000
k396 -0.001929 0.003012 0.000214 0.000081
k397 -0.000861 0.002831 0.000322 0.000192
k398 0.003350 0.006384 0.001263 0.000587
k399 0.000433 0.004426 0.000510 0.000271
k400 0.000384 0.004696 0.000590 0.000321
k401 0.000097 0.000242 0.000001 0.000001
k402 0.000674 0.005138 0.000563 0.000321
k403 0.003238 0.004707 0.000658 0.000437
k404 0.000485 0.001159 0.000033 0.000013
k405 0.000107 0.000421 0.000006 0.000006

Parameter_1 Parameter_2 S2 S2_conf
Tmax h -0.045325 0.071707
Tmax Carbon -0.040540 0.072531
Tmax Hydrogen -0.031067 0.067068
Tmax k0 -0.046781 0.071777
Tmax k1 -0.045217 0.071713
Tmax k2 -0.047505 0.071573
Tmax k3 -0.043819 0.071721
Tmax k4 -0.045219 0.071628
Tmax k5 -0.046607 0.071735
Tmax k6 -0.046809 0.071021
Tmax k7 -0.044245 0.071391
Tmax k8 -0.046319 0.071767
Tmax k9 -0.044946 0.071850
Tmax k10 -0.045369 0.071697
Tmax k11 -0.045358 0.071697
Tmax k12 -0.045070 0.071703
Tmax k13 -0.045347 0.071697
Tmax k14 -0.042237 0.071761
Tmax k15 -0.046176 0.072003
Tmax k16 -0.045420 0.071677
Tmax k17 -0.045573 0.071674
Tmax k18 -0.045284 0.071685
Tmax k19 -0.045253 0.071726
Tmax k20 -0.043966 0.071506
Tmax k21 -0.044474 0.072065
Tmax k22 -0.045270 0.071759
Tmax k23 -0.045158 0.071814
Tmax k24 -0.045375 0.071690
Tmax k25 -0.045190 0.071709
Tmax k26 -0.045637 0.071808
Tmax k27 -0.045422 0.071704
Tmax k28 -0.042955 0.072069
Tmax k29 -0.045294 0.071517
Tmax k30 -0.042606 0.071534
Tmax k31 -0.048171 0.072077
Tmax k32 -0.045500 0.071686
Tmax k33 -0.045337 0.071689
Tmax k34 -0.044920 0.071593
Tmax k35 -0.045239 0.071662
Tmax k36 -0.045328 0.071698
Tmax k37 -0.045362 0.071696
Tmax k38 -0.045111 0.071765
Tmax k39 -0.045537 0.071686
Tmax k40 -0.045209 0.071636
Tmax k41 -0.045170 0.071727
Tmax k42 -0.045682 0.071862
Tmax k43 -0.045567 0.071702
Tmax k44 -0.045340 0.071696
Tmax k45 -0.045353 0.071689
Tmax k46 -0.045534 0.071627
Tmax k47 -0.045338 0.071691
Tmax k48 -0.043343 0.071326
Tmax k49 -0.045263 0.071440
Tmax k50 -0.045565 0.071500
Tmax k51 -0.045636 0.071776
Tmax k52 -0.044028 0.071732
Tmax k53 -0.046722 0.071861
Tmax k54 -0.045125 0.071629
Tmax k55 -0.044946 0.071831
Tmax k56 -0.045438 0.071888
Tmax k57 -0.043749 0.072224
Tmax k58 -0.043253 0.071130
Tmax k59 -0.045354 0.071697
Tmax k60 -0.045357 0.071697
Tmax k61 -0.045382 0.071662
Tmax k62 -0.045341 0.071698
Tmax k63 -0.045152 0.071710
Tmax k64 -0.045358 0.071697
Tmax k65 -0.045356 0.071697
Tmax k66 -0.045334 0.071696
Tmax k67 -0.045115 0.071699
Tmax k68 -0.046378 0.071716
Tmax k69 -0.045992 0.071705
Tmax k70 -0.044533 0.071591
Tmax k71 -0.045331 0.071719
Tmax k72 -0.045355 0.071697
Tmax k73 -0.045222 0.071688
Tmax k74 -0.045358 0.071697
Tmax k75 -0.044969 0.071718
Tmax k76 -0.045358 0.071697
Tmax k77 -0.045352 0.071697
Tmax k78 -0.045356 0.071697
Tmax k79 -0.045193 0.071705
Tmax k80 -0.045346 0.071716
Tmax k81 -0.045320 0.071689
Tmax k82 -0.045686 0.071655
Tmax k83 -0.045361 0.071708
Tmax k84 -0.045358 0.071697
Tmax k85 -0.045357 0.071697
Tmax k86 -0.045649 0.071762
Tmax k87 -0.045370 0.071697
Tmax k88 -0.045358 0.071697
Tmax k89 -0.045358 0.071697
Tmax k90 -0.045388 0.071697
Tmax k91 -0.045401 0.071697
Tmax k92 -0.045350 0.071696
Tmax k93 -0.045358 0.071697
Tmax k94 -0.045358 0.071697
Tmax k95 -0.045358 0.071697
Tmax k96 -0.045358 0.071697
Tmax k97 -0.045358 0.071697
Tmax k98 -0.045358 0.071697
Tmax k99 -0.045358 0.071697
Tmax k100 -0.045358 0.071697
Tmax k101 -0.045354 0.071702
Tmax k102 -0.045358 0.071697
Tmax k103 -0.045352 0.071697
Tmax k104 -0.040628 0.071459
Tmax k105 -0.046699 0.071793
Tmax k106 -0.048825 0.072176
Tmax k107 -0.046182 0.071663
Tmax k108 -0.047952 0.072564
Tmax k109 -0.045401 0.071742
Tmax k110 -0.047093 0.072300
Tmax k111 -0.045352 0.071697
Tmax k112 -0.045359 0.071697
