Parameter S1 S1_conf ST ST_conf
k173 0.000974 0.001937 0.000128 0.000254
k174 0.000387 0.000729 0.000051 0.000097
k175 0.000256 0.000569 0.000006 0.000004
k176 0.000090 0.000294 0.000001 0.000001
k177 -0.000105 0.000335 0.000004 0.000005
k178 -0.000163 0.004346 0.000418 0.000341
k179 0.002916 0.005970 0.000803 0.000500
k180 -0.000128 0.000735 0.000009 0.000005
k181 0.014296 0.032678 0.019784 0.003167
k182 0.000000 0.000000 0.000000 0.000000
k183 0.000389 0.000880 0.000013 0.000008
k184 0.000404 0.003635 0.000255 0.000097
k185 0.000471 0.001765 0.000060 0.000034
k186 -0.000269 0.001318 0.000037 0.000018
k187 0.000140 0.000808 0.000014 0.000007
k188 -0.001175 0.002188 0.000087 0.000029
k189 -0.000116 0.001796 0.000061 0.000035
k190 -0.003776 0.006759 0.000707 0.000236
k191 -0.000520 0.003153 0.000186 0.000040
k192 -0.001704 0.017318 0.005102 0.001080
k193 -0.000832 0.006556 0.000745 0.000239
k194 -0.000289 0.000714 0.000012 0.000006
k195 0.000046 0.000044 0.000000 0.000000
k196 0.000098 0.000538 0.000004 0.000003
k197 -0.000152 0.000198 0.000001 0.000000
k198 -0.000033 0.000367 0.000005 0.000008
k199 -0.002926 0.002735 0.000134 0.000069
k200 0.003595 0.004987 0.000336 0.000439
k201 0.000173 0.000438 0.000004 0.000001
k202 0.000000 0.000000 0.000000 0.000000
k203 -0.013112 0.034182 0.019238 0.003743
k204 -0.000073 0.001070 0.000021 0.000017
k205 -0.002917 0.003307 0.000241 0.000090
k206 -0.000424 0.000980 0.000020 0.000016
k207 0.000079 0.001474 0.000043 0.000025
k208 0.000425 0.000790 0.000010 0.000004
k209 0.000355 0.000950 0.000016 0.000005
k210 -0.000263 0.000841 0.000013 0.000007
k211 -0.005478 0.008069 0.001034 0.000464
k212 -0.001175 0.004769 0.000461 0.000198
k213 -0.001100 0.015677 0.004179 0.000798
k214 0.003389 0.006221 0.000746 0.000328
k215 -0.000035 0.000600 0.000007 0.000003
k216 -0.000002 0.000033 0.000000 0.000000
k217 0.000005 0.000022 0.000000 0.000000
k218 0.000013 0.000013 0.000000 0.000000
k219 0.000001 0.000017 0.000000 0.000000
k220 0.000036 0.000123 0.000000 0.000000
k221 0.000000 0.000000 0.000000 0.000000
k222 0.000001 0.000002 0.000000 0.000000
k223 0.004374 0.003498 0.000232 0.000088
k224 0.003910 0.002795 0.000149 0.000069
k225 0.000164 0.000261 0.000002 0.000002
k226 0.000058 0.000345 0.000002 0.000001
k227 0.000059 0.000116 0.000000 0.000000
k228 0.000016 0.000136 0.000001 0.000000
k229 -0.000027 0.000089 0.000000 0.000000
k230 0.000019 0.000172 0.000001 0.000000
k231 -0.000012 0.000095 0.000000 0.000000
k232 0.000132 0.000993 0.000024 0.000014
k233 0.001202 0.002279 0.000132 0.000076
k234 0.000116 0.001313 0.000035 0.000011
k235 0.000903 0.001474 0.000037 0.000034
k236 0.000038 0.000157 0.000000 0.000000
k237 0.000001 0.000003 0.000000 0.000000
k238 0.000066 0.000210 0.000001 0.000001
k239 0.000009 0.000028 0.000000 0.000000
k240 -0.000103 0.000305 0.000002 0.000001
k241 0.000000 0.000000 0.000000 0.000000
k242 -0.000921 0.001855 0.000059 0.000119
k243 -0.000007 0.000175 0.000001 0.000000
k244 -0.002895 0.003251 0.000171 0.000116
k245 -0.001047 0.004182 0.000302 0.000144
k246 0.000000 0.000056 0.000000 0.000000
k247 0.000085 0.000528 0.000005 0.000002
k248 -0.001289 0.002143 0.000051 0.000083
k249 0.000004 0.000012 0.000000 0.000000
k250 0.000060 0.000129 0.000000 0.000000
k251 0.000274 0.000409 0.000004 0.000005
k252 0.000663 0.001189 0.000035 0.000065
k253 0.000028 0.000473 0.000003 0.000003
k254 -0.000824 0.000843 0.000013 0.000009
k255 -0.000063 0.001219 0.000031 0.000020
k256 0.000048 0.000200 0.000001 0.000000
k257 0.000030 0.000044 0.000000 0.000000
k258 -0.000006 0.000015 0.000000 0.000000
k259 -0.000122 0.000459 0.000003 0.000004
k260 -0.000003 0.000040 0.000000 0.000000
k261 -0.000103 0.000107 0.000000 0.000001
