Parameter S1 S1_conf ST ST_conf
k206 -0.000103 0.000225 0.000003 0.000002
k207 -0.000168 0.000294 0.000007 0.000005
k208 -0.000087 0.000417 0.000008 0.000003
k209 -0.000129 0.000508 0.000009 0.000003
k210 -0.000377 0.000477 0.000014 0.000013
k211 -0.001420 0.002185 0.000177 0.000073
k212 -0.000155 0.001061 0.000070 0.000034
k213 -0.000395 0.004031 0.000782 0.000140
k214 -0.000370 0.001821 0.000131 0.000055
k215 0.000097 0.000287 0.000007 0.000007
k216 -0.000006 0.000011 0.000000 0.000000
k217 0.000003 0.000004 0.000000 0.000000
k218 0.000006 0.000005 0.000000 0.000000
k219 -0.000003 0.000007 0.000000 0.000000
k220 0.000016 0.000025 0.000000 0.000000
k221 0.000000 0.000000 0.000000 0.000000
k222 0.000000 0.000001 0.000000 0.000000
k223 0.001478 0.000921 0.000044 0.000018
k224 0.000872 0.000697 0.000029 0.000015
k225 0.000099 0.000087 0.000000 0.000000
k226 0.000097 0.000152 0.000004 0.000007
k227 0.000045 0.000110 0.000004 0.000007
k228 0.000005 0.000042 0.000000 0.000000
k229 0.000011 0.000038 0.000000 0.000000
k230 0.000011 0.000130 0.000001 0.000000
k231 -0.000004 0.000040 0.000000 0.000000
k232 0.000121 0.000241 0.000004 0.000002
k233 0.000254 0.000383 0.000014 0.000007
k234 -0.000056 0.000352 0.000008 0.000004
k235 -0.000202 0.000436 0.000011 0.000013
k236 0.000047 0.000141 0.000001 0.000001
k237 0.000000 0.000001 0.000000 0.000000
k238 0.000033 0.000074 0.000000 0.000000
k239 0.000008 0.000013 0.000000 0.000000
k240 -0.000038 0.000089 0.000000 0.000000
k241 0.000000 0.000000 0.000000 0.000000
k242 -0.000213 0.000400 0.000006 0.000012
k243 0.000013 0.000054 0.000000 0.000000
k244 -0.000670 0.000809 0.000023 0.000020
k245 -0.000018 0.000868 0.000044 0.000020
k246 0.000000 0.000009 0.000000 0.000000
k247 -0.000017 0.000148 0.000001 0.000001
k248 -0.000626 0.001299 0.000123 0.000231
k249 -0.000001 0.000005 0.000000 0.000000
k250 -0.000029 0.000073 0.000000 0.000000
k251 0.000101 0.000103 0.000001 0.000001
k252 -0.000016 0.000112 0.000001 0.000002
k253 -0.000012 0.000059 0.000000 0.000000
k254 -0.000222 0.000289 0.000002 0.000003
k255 0.000039 0.000322 0.000004 0.000003
k256 -0.000002 0.000035 0.000000 0.000000
k257 0.000055 0.000109 0.000004 0.000007
k258 -0.000004 0.000007 0.000000 0.000000
k259 -0.000002 0.000073 0.000000 0.000000
k260 -0.000013 0.000019 0.000000 0.000000
k261 -0.000022 0.000029 0.000000 0.000000
k262 -0.000024 0.000112 0.000001 0.000000
k263 0.000027 0.000054 0.000000 0.000000
k264 -0.000002 0.000025 0.000000 0.000000
k265 -0.000282 0.001199 0.000058 0.000025
k266 -0.000069 0.000483 0.000010 0.000002
k267 0.000060 0.000138 0.000001 0.000001
k268 0.000030 0.000164 0.000001 0.000001
k269 0.000061 0.000053 0.000000 0.000000
k270 -0.000020 0.000063 0.000000 0.000000
k271 0.000003 0.000090 0.000001 0.000000
k272 0.000093 0.000296 0.000004 0.000002
k273 0.000069 0.000170 0.000003 0.000004
k274 -0.000092 0.000263 0.000005 0.000003
k275 0.000175 0.000407 0.000010 0.000008
k276 -0.000116 0.000574 0.000016 0.000005
k277 0.000193 0.000394 0.000007 0.000002
k278 0.000058 0.000127 0.000001 0.000000
k279 -0.000001 0.000004 0.000000 0.000000
k280 -0.000046 0.000144 0.000001 0.000001
k281 0.000179 0.000496 0.000018 0.000011
k282 -0.000011 0.000013 0.000000 0.000000
k283 -0.000006 0.000009 0.000000 0.000000
k284 -0.000099 0.000198 0.000004 0.000008
k285 0.000001 0.000001 0.000000 0.000000
k286 -0.000567 0.001092 0.000057 0.000045
k287 -0.000171 0.000232 0.000002 0.000001
k288 0.000141 0.001130 0.000054 0.000012
k289 0.000002 0.000015 0.000000 0.000000
k290 -0.000567 0.002665 0.000270 0.000130
k291 0.002242 0.005012 0.001154 0.000286
k292 0.000125 0.000389 0.000011 0.000008
k293 0.001019 0.006478 0.001737 0.000343
k294 0.000414 0.001381 0.000078 0.000034
k295 -0.002329 0.007763 0.002652 0.000482
k296 -0.000051 0.000956 0.000042 0.000013
k297 0.000138 0.004908 0.001052 0.000188
k298 0.002585 0.008978 0.003436 0.000529
k299 0.004192 0.008696 0.003563 0.000797
k300 -0.000016 0.000240 0.000002 0.000001
k301 0.000236 0.000559 0.000007 0.000007
k302 -0.000776 0.001976 0.000139 0.000078
k303 -0.000028 0.000154 0.000000 0.000000
k304 0.000097 0.000131 0.000001 0.000000
k305 -0.000031 0.000064 0.000000 0.000000
