Parameter S1 S1_conf ST ST_conf
k201 -0.000115 0.000438 0.000017 0.000006
k202 0.000000 0.000000 0.000000 0.000000
k203 0.007122 0.012201 0.008141 0.002043
k204 0.000194 0.000494 0.000021 0.000012
k205 0.000111 0.001745 0.000223 0.000071
k206 0.000212 0.000590 0.000017 0.000009
k207 0.000234 0.000631 0.000027 0.000017
k208 0.000066 0.000732 0.000037 0.000017
k209 -0.000267 0.000443 0.000012 0.000004
k210 0.000258 0.000656 0.000019 0.000012
k211 0.002679 0.003878 0.000828 0.000327
k212 -0.000389 0.001707 0.000219 0.000097
k213 0.002010 0.009989 0.005409 0.001891
k214 0.001019 0.002913 0.000644 0.000323
k215 -0.001819 0.003496 0.000955 0.001896
k216 0.000006 0.000015 0.000000 0.000000
k217 -0.000019 0.000021 0.000000 0.000000
k218 -0.000004 0.000007 0.000000 0.000000
k219 -0.000001 0.000009 0.000000 0.000000
k220 0.000006 0.000038 0.000000 0.000000
k221 0.000000 0.000000 0.000000 0.000000
k222 -0.000000 0.000001 0.000000 0.000000
k223 -0.001570 0.001356 0.000106 0.000037
k224 -0.001086 0.001098 0.000084 0.000050
k225 -0.000057 0.000172 0.000003 0.000002
k226 -0.001707 0.003488 0.000957 0.001896
k227 -0.001757 0.003484 0.000952 0.001896
k228 -0.000030 0.000124 0.000001 0.000001
k229 -0.000050 0.000150 0.000001 0.000002
k230 -0.000047 0.000125 0.000001 0.000001
k231 0.000018 0.000065 0.000000 0.000000
k232 0.000230 0.000460 0.000012 0.000006
k233 -0.000023 0.000506 0.000018 0.000006
k234 -0.000503 0.000701 0.000036 0.000015
k235 -0.000873 0.002191 0.000573 0.001050
k236 0.000015 0.000050 0.000000 0.000000
k237 -0.000001 0.000002 0.000000 0.000000
k238 -0.000139 0.000252 0.000010 0.000019
k239 0.000001 0.000016 0.000000 0.000000
k240 0.000038 0.000130 0.000001 0.000001
k241 0.000000 0.000000 0.000000 0.000000
k242 0.000169 0.000361 0.000008 0.000015
k243 0.000008 0.000081 0.000001 0.000001
k244 -0.000332 0.000821 0.000044 0.000016
k245 0.000107 0.001445 0.000103 0.000034
k246 0.000000 0.000029 0.000000 0.000000
k247 -0.000267 0.000489 0.000009 0.000006
k248 -0.002776 0.004024 0.001140 0.001938
k249 -0.000001 0.000007 0.000000 0.000000
k250 0.000017 0.000148 0.000001 0.000000
k251 -0.000106 0.000124 0.000001 0.000001
k252 -0.000039 0.000296 0.000007 0.000011
k253 -0.000065 0.000093 0.000001 0.000001
k254 0.000096 0.000201 0.000002 0.000001
k255 0.000455 0.000340 0.000008 0.000003
k256 -0.000009 0.000142 0.000001 0.000000
k257 -0.001750 0.003482 0.000952 0.001896
k258 0.000005 0.000008 0.000000 0.000000
k259 -0.000007 0.000102 0.000001 0.000001
k260 0.000015 0.000026 0.000000 0.000000
k261 0.000012 0.000037 0.000000 0.000000
k262 0.000075 0.000152 0.000002 0.000001
k263 -0.000007 0.000097 0.000001 0.000000
k264 -0.000023 0.000046 0.000000 0.000000
k265 0.000322 0.002208 0.000345 0.000214
k266 -0.000195 0.001142 0.000070 0.000028
k267 -0.000162 0.000322 0.000010 0.000005
k268 -0.000013 0.000383 0.000011 0.000006
k269 -0.000137 0.000145 0.000001 0.000001
k270 0.000075 0.000124 0.000002 0.000001
k271 -0.000059 0.000321 0.000004 0.000005
k272 -0.000048 0.000333 0.000005 0.000003
k273 -0.000411 0.000703 0.000032 0.000062
k274 -0.000691 0.001377 0.000062 0.000056
k275 -0.001843 0.003546 0.000969 0.001898
k276 0.000039 0.001853 0.000138 0.000067
k277 -0.000276 0.001433 0.000090 0.000045
k278 -0.000067 0.000115 0.000000 0.000000
k279 0.000000 0.000006 0.000000 0.000000
k280 0.000502 0.000440 0.000007 0.000007
k281 -0.002012 0.003527 0.000969 0.001896
k282 0.000002 0.000004 0.000000 0.000000
k283 0.000008 0.000012 0.000000 0.000000
k284 0.001001 0.001972 0.000150 0.000293
k285 -0.000000 0.000000 0.000000 0.000000
k286 0.000816 0.001747 0.000204 0.000125
k287 -0.000132 0.000229 0.000004 0.000003
k288 -0.001079 0.002107 0.000280 0.000060
k289 -0.000013 0.000030 0.000000 0.000000
k290 -0.000594 0.004367 0.000627 0.000454
k291 0.002541 0.010512 0.007600 0.001441
k292 -0.001518 0.003575 0.000989 0.001895
k293 -0.001893 0.007208 0.002519 0.000677
k294 -0.000285 0.001109 0.000091 0.000072
k295 0.000458 0.021478 0.027027 0.004343
k296 -0.000055 0.000650 0.000029 0.000008
k297 -0.002533 0.006025 0.002447 0.001929
k298 0.032925 0.032902 0.068771 0.006698
